Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,EAN2d7,EAN2u6
Annelida,Oligochaeta,10,GC,,,23
Annelida,Oligochaeta,10,GC,,19,
Arthronod/ worm like,Nematomorpha,,PA,,9,
Coleoptera,Dytiscidae,5,PR,,7,
Coleoptera,Elmidae,4,GC,,2,
Diptera,Ceratopogonidae,6,PR (CG),,1,
Diptera,Chironomidae,6,GC,,12,41
Diptera,Simuliidae,6,FC,,,29
Diptera,Tipulidae,3,SH (GC),,1,
Ephemeroptera,Baetidae,4,GC,,,1
Hemiptera,Belostomatidae,9.8,PR,,1,
Hemiptera,Naucoridae,5,PR,,41,
Megaloptera,Sialidae,4,PR,,1,
Odonata,Calopterygidae,5,PR,,2,
Trichoptera,Hydropsychidae,4,FC,,2,
Venoroidea,Veneridae,-9999,FC,,,1