Order,Family,Benthic Tolerance,Functional Feeding Designation,Notes,LWR3a6,LWR3d7,LWR3r6,LWR3r6(2),LWR3r6(3),LWR3s8,LWR3t,LWR3v6
Amphipoda,Talitridae,8,GC,,1,,,,,,,
Annelida,Nematomorpha,-9999,PA,,,,,1,3,4,10,
Annelida,Oligochaeta,8,GC,Naididae (Family),,,10,,,,,10
Annelida,Oligochaeta,10,GC,,,,,8,8,,9,
Coleoptera,Curulionidae,,,,,,,,,,1,
Coleoptera,Elmidae,4,GC,,2,4,,1,3,24,25,23
Coleoptera,Hydrophilidae,5,PR,,,,,1,,,1,
Decapoda,Astacidae,8,SC (OM),Crawdad marked on datasheet,,,,1,,,,
Diptera,Athericidae,2,PR,,,2,,,,,,
Diptera,Chironomidae,6,GC,,3,4,4,3,10,20,25,10
Diptera,Ephydridae,6,GC,,,,,,3,,,
Diptera,Simuliidae,6,FC,,,,,,1,,,
Diptera,Tipulidae,3,SH (GC),,,1,,,,,,
Ephemeroptera,Baetidae,4,GC,,,,1,18,25,,,
Ephemeroptera,Caenidae,7,GC,,,,3,,,47,1,21
Ephemeroptera,Ephemeridae,4,GC,,,,,,,1,,
Ephemeroptera,Heptageniidae,4,SC (CG),,17,2,6,18,20,5,,7
Ephemeroptera,Oligoneuriidae,2,FC,,2,33,,1,,,,
Ephemeroptera,Polymitarcyidae,2,GC,,,3,35,44,29,,2,27
Ephemeroptera,Siphlonuridae,7,GC,,,,2,,,17,,
Ephemeroptera,Tricorythidae,5,GC,,1,19,,,,,,1
Gastropoda,Planorbidae,7,SC,,,,,,,,,1
Hemiptera,Corixidae,10,PR,,,,,1,,1,16,
Hemiptera,Naucoridae,5,PR,,,1,,,,,,
Hydracarina,Hygrobatoidae,,,,,,,,,,,
Lepidoptera,Pyralidae,5,SH,,,,,,1,,,
Odonata,Gomphidae,1,PR,,,5,,,,,,
Plecoptera,Perlidae,1,PR,,6,,,,,,,
Trichoptera,Brachycentridae,1,FC,,121,,,,,1,,4
Trichoptera,Hydropsychidae,4,FC,,15,29,34,6,5,,,9
Trichoptera,Hydroptilidae,4,SC,,,,1,,2,,,
Trichoptera,Leptoceridae,4,GC,,,,,3,1,,,
Trombidiformes,Hydracarina,4,PR,Class: Arachnida,,,1,,1,1,1,
Veneroidea,Sphaeriidae,8,FC,Class: Bivalvia formerly Pelecypoda,,,,,1,,,