id,collect_date,notes,
amh1a7,July 13 1993,,
amh1b6,June 15 1994,,
amh1d7,July 23 1996,,
amh1p6,June 09 2008,,
bcr1a6,June 30 1993,,
bcr1b6,June 14 1994,,
bcr1d7,July 18 1996,,
bcr2b6,June 16 1994,,
bcr2d7,July 25 1996,,
bcr3a6,June 30 1993,,
bcr3d8,August 19 1996,,
blc1a6,June 30 1993,,
blc1b6,June 16 1994,,
blc1d8,August 14 1996,,
blc2b6,June 27 1994,,
blc2a6,June 30 1993,,
blc2d8,August 19 1996,,
bpc1a7,July 02 1993,,
bpc1b7,July 12 1994,,
bpc1d8,Aug. 13 1996,,
bpc1r6,June 21 2010,,
bzc1a7,July 02 1993,,
bzc1r6,July 12 1994,,
bzc1d8,Aug. 13 1996,,
chr1b7,July 19 1994,,
chr1d8,August 30 1996,,
cnc1b7,July 5 1994,,
cnc1d7,July 30 1996,,
crc1a6,June 01 1993,,
crc1b6,June 27 1994,,
crc1d8,August 20 1996,,
enc1b7,July 5 1994,,
enc1d8,August 19 1996,,
enc2d8,August 14 1996,,
ldc1a6,June 23 1993,,
ldc1d7,July 24 1996,,
loc1a6,June 14 1993,,
loc1d8,August 21 1996,,
lwr1a6,June 15 1993,,
lwr1b5,May 24 1994,,
lwr1d8,Aug. 26 1996,,
lwr1r6,June 24 2010,,
lwr1s7,July 21 2011,,
lwr2,LWR2??,,
lwr2d7,LWR2d7,,
lwr3a6,June 16 1993,,
lwr3r6,June 23 2010,,
lwr3d7,July 25 1996,,
lwr3r6_2,June 24 2010,,
reset,,,
lwr4b7,July 24 1994,,
lwr4d7,July 25 1996,,
mrc1a7,July 01 1993,,
mrc1b6,June 15 1994,,
mrc1d8,August 12 1996,,
mrc1p6,June 11 2008,,
mrc3a7,July 19 1993,,
mrc3d7,July 22 1996,,
mrc4p6,June 11 2008,,
nfc1a7,July 01 1993,,
nfc1b6,June 23 1994,,
nfc1d8,August 26 1996,,
nfc1b7,June 27 1994,,
psc1a7,July 02 1993,,
psc1d8,August 13 1996,,
psc2a6,June 14 1993,,
psc2b7,July 15 1994,,
psc2d,August 13 1996,used PAS1d8 date,
psc3a8,August 03 1993,,
psc3b7,July 21 1994,,
psc3d8,August 22 1996,,
psc3r6,June 21 2010,,
por1c8,Aug 22 1995,,
por1a6,June 16 1993,,
por1b7,July 26 1994,,
por1e7,July 30 1997,,
por2a6,June 16 1993,,
por2b6,June 21 1994,,
por2d7,July 30 1996,,
por2d7_2,July 16 1996,check data,
por3a7,July 07 1993,,
por3b5,May 5 1994,,
por3r6,June 22 2010,,
por3s6,June 13 2011,,
poc1a7,July 06 1993,,
poc1b6,June 21 1994,,
poc1d7,July 24 1996,,
rdw1p6,June 10 2008,,
rdw1b8,August 25 1994,,
rdw1d7,July 24 1996,,
rdw1a7,July 19 1993,,
wcc1a6_7,"June/July 11 1993
check original paper for 
date correction",,
wcc1d7,July 2 1996,,
wcc2a6_7,"June/July 11 1993
check original paper for 
date correction",,
wcc2d7,July 15 1996,,
wcc2b6,June 13 1994,,
wcc3d7,July 15 1996,,
wtr1b6,June 13 1994,,
wtr1a7,July 11 1993,,
wtr1d7,July 8 1996,,
wtr2b5,May 25 1994,,
wtr2a7,July 14 1993,,
wtr4a8,August 03 1993,,
wfc1a6,June 15 1993,,
wfc1b5,May 23 1994,,
wfc1d7,July 2 1996,,
wdk1a6,June 15 1993,,
wdk1r6,June 24 2010,,
wdk1b5,May 23 1994,,
wdk2a7,July 11 1993,,
wdk2r6,June 23 2010,,
wdk2b6,June 1 1994,,
wdk3a6,June 04 1993,,
wdk3b7,July 26 1994,,
wdk4b5,May 25 1994,,
wdk4a6,June 04 1993,,
wdk4d7,July 16 1996,,